ID,Label,titles
1799,"Doting, J. S","[{'title': 'Doting, J. S.', 'citations': 1}]"
1800,"Dougan, C. W.","[{'title': ""Dougan, C. W. , ,,' ~,,' , Dickite';claydBposit of Fergus C6Utlty,Montaha~"", 'citations': 1}]"
1801,"Doughty, J. L.","[{'title': '(1485Y Doughty, J. L. , Phosphorus studies in Alberta soils.', 'citations': 1}]"
1802,"Doughty, J. L","[{'title': '(1486) Doughty, J. L.', 'citations': 1}]"
1803,"Dova1ina, J","[{'title': '(1488) Dova1ina, J.', 'citations': 1}]"
1804,"Dovalina, J","[{'title': 'Dovalina, J.', 'citations': 1}]"
1805,"Dove, L'. P","[{'title': ""Dove, L'. P."", 'citations': 1}]"
1806,"Draffin, J. O","[{'title': ""Dayne, I'1.C., see 3712, (1491) Draffin, J. O."", 'citations': 1}]"
1807,"Dragsdorf, R. D.","[{'title': ""(1492) Dragsdorf, R. D., ·Kissinger, H. 'E•.and Perkins,A~ T."", 'citations': 1}]"
1808,"Drako, O. F.","[{'title': ""Drako, O. F., see 160. '. -'."", 'citations': 1}]"
1809,"Dreveskracht, L. R. and Thiel, G.","[{'title': ""Dreveskracht, L. R. and Thiel, G. F'."", 'citations': 1}]"
1810,"Dreyfuss, M..","[{'title': 'Dreyfuss, M... . .', 'citations': 1}]"
1811,"Dreyfuss, M","[{'title': 'Dreyfuss, M.', 'citations': 1}]"
1812,"Drinker, P..","[{'title': 'Drinker, P. . ... .', 'citations': 1}]"
1813,Abstracts S,"[{'title': 'Chern. Abstracts S,2"" .No. 20, 6990 (1935).', 'citations': 1}, {'title': ""Chern. Abstracts S:-' No. 12, 5491 (1952), . . '"", 'citations': 1}]"
1814,"Dryden, C.","[{'title': 'Drouine<l.u, G., see i069, 1100. "", Dryden, C., see 1505•', 'citations': 1}]"
1815,"DTown, T. M","[{'title': '. ., , (1504) DTown, T. M.', 'citations': 1}]"
1816,"Dryden, G","[{'title': '(1505) Dry.de!,!,. A. L., Jr. and. Dryden, G.', 'citations': 1}]"
1817,"Dubey, V.' S.","[{'title': ""Dubey, V.' S., Rane, III. B. and Kanakaratnamj M."", 'citations': 1}]"
1818,"Dubov, V. G","[{'title': 'Dubov, V. G.', 'citations': 1}]"
1819,"Dubrovo, S. K","[{'title': 'Dubrovo, S. K.', 'citations': 1}]"
1820,Chem. Q,"[{'title': '~. ~. Chem. Q.a.a.li. ~, 47-55 (1950). (In', 'citations': 1}]"
1821,"Dubuisson, A.","[{'title': 'Dubuisson, A. , . , Determination of:,tIie degree of ;f\'inenl""Ss qf powdered IllClteRia1s. .... \' \' .. \'.\' .\'', 'citations': 1}]"
1822,"Dubuisson, A..","[{'title': ""(1510} Dubuisson, A. . , . '."", 'citations': 1}]"
1823,"Dudley, J. B.","[{'title': '(1512) Dudley, J. B. :.', 'citations': 1}]"
1824,Til. B,"[{'title': ""VerhancU..Erst. Komm. lnte'I'n;' BOdetlk:, .G13'S';' Til. B, 6 Konmt. 440-447 (1937)."", 'citations': 1}]"
1825,"Dunbeck, N. J.","[{'title': 'Dunbeck, N. J. , . . ...', 'citations': 1}]"
1826,"Duncan, J. F","[{'title': '(1516) Duncan, J. F.', 'citations': 1}]"
1827,"Dundon, M. L","[{'title': '(1517) Dundon, M. L.', 'citations': 1}]"
1828,"Dundon, M. L.","[{'title': '"" , Dundon, M. L. and lYJack, E. ,Jr.', 'citations': 1}]"
1829,"Dunn, J. A.","[{'title': ""(1520 )' Dunn, J. A . , _"", 'citations': 1}]"
1830,"Dunn, R.","[{'title': ""Dunn, R. ' ,."", 'citations': 1}]"
1831,Mining I.,"[{'title': 'Canadian Mining I. ~, NO. 48, 947-948 (1923).', 'citations': 1}]"
1832,"Dunn, L. R. L. and Rands, M. B","[{'title': ""('1521) Dunn, L. R. L. and Rands, M. B."", 'citations': 1}]"
1833,Zealand I,"[{'title': ',New Zealand I.~. Technol. gQ, No.1, Zl...23B', 'citations': 1}]"
1834,"Dunn, W","[{'title': '(1523) Dunn, W.', 'citations': 1}]"
1835,"Dunnington, F. P","[{'title': '(1525) Dunnington, F. P.', 'citations': 1}]"
1836,"Dunstan, A. E., Thole, F. B.","[{'title': '(1526) Dunstan, A. E., Thole, F. B. and ..Relllfry,F. G. P.·', 'citations': 1}]"
1837,"Dunstan, W. R.","[{'title': '(1527) Dunstan, W. R., .. . . . \\', 'citations': 1}]"
1838,"Dutta, N. B.","[{'title': 'Dutta, N. B., see 4760.', 'citations': 1}]"
1839,"Dyal, P.","[{'title': '. \' """"~;\' \'. -"" .. .--... .. - - ,,\'"" \',~~.\' Dyal, P., see 4698. :\' \'. ..\':... .\'', 'citations': 1}]"
1840,"Eakle,A.","[{'title': '(1531) . Eakle ,A. S~ ,\'"" .. , <.. ..', 'citations': 1}]"
1841,"Eakle, A.","[{'title': ""(1532) Eakle, A. 3. . . . . ' .:' ."", 'citations': 1}]"
1842,Earley I J.,"[{'title': 'Earley I J. tv., see 3822.', 'citations': 1}]"
1843,"East, W. H","[{'title': ""(1533~ East, W. H.'"", 'citations': 1}]"
1844,X. Water,"[{'title': ""X. Water filmi'lin monodisperse kaolinite fractions."", 'citations': 1}]"
1845,"Eaton, F. M. and Horton, C. R","[{'title': '~. Abstracts ti, No. 17, i:lQ2p(1950). , (1534) Eaton, F. M. and Horton, C. R.', 'citations': 1}]"
1846,"Eaton, F. M. and Sokoloff, V. P","[{'title': '(1535) Eaton, F. M. and Sokoloff, V. P.', 'citations': 1}]"
1847,"EJaton, S. E.","[{'title': ""(1536)EJaton, S. E., Hy(fe;'R~·W:.andRo~d, N. H."", 'citations': 1}]"
1848,"Eberle, A. R.","[{'title': 'Eberle, A. R., see 3802.', 'citations': 1}]"
1849,"Echeistova, A. I.","[{'title': 'Echeistova, A. I., see 5000.', 'citations': 1}]"
1850,"Eckel, E. C..","[{'title': '(1539) . Eckel, E. C. . . "" . _ . :,_.', 'citations': 1}]"
1851,Y.. S. Geo1,"[{'title': 'Y.. S. Geo1. Survey, Bull. 260; 587-58~(1905).', 'citations': 1}]"
1852,"Eckel, E. C","[{'title': 'Eckel, E. C.', 'citations': 2}, {'title': '(1541) Eckel, E. C.', 'citations': 1}]"
1853,I. Origin,"[{'title': 'Clay resources of Tennessee Valley Authority region. I. Origin, distribution, and pro~ duction of clay in T.V.A.regi.on.', 'citations': 1}]"
1854,"Eckman, J","[{'title': ""Eckman, J, R, Determination'of sulfur trioxide in the presence of sulftlr dioxide, together with some analyses of commercial liquid su1phurdioxide."", 'citations': 1}]"
1855,"Edelman, C. H","[{'title': 'Edelman, C. H, Relations between the crystal structure of minerals and thei,rbase-e.JCchang<; capacity.', 'citations': 1}, {'title': 'Edelman, C. H, The isoelectric formation of lateritic soils.', 'citations': 1}]"
1856,"Edelman, C.' H.","[{'title': ""Trans, Int~n•.~.congr •. ~~., .l!J!Congr., OXford .1, -99 (1935). .• . '. . .., Edelman, C.' H., . '.' , Problemes minefalogiques se'ra'pportant a"", 'citations': 1}]"
1857,"Edelman, C. H.","[{'title': '\':;,~,.; ,""_. "":,,: ~,~.\'<.... \' \'\':. , .•:.:~"":\'~;~~--,~:::, Edelman, C. H. .', 'citations': 1}]"
1858,Edelmanj C. F,"[{'title': '(1547) Edelmanj C. F.', 'citations': 1}]"
1859,"Edelman, C. H. and Favejee, J.","[{'title': 'Edelman, C. H. and Favejee, J. C', 'citations': 1}]"
1860,"Edelman, C. H. and Schuffelen, A. C","[{'title': 'Edelman, C. H. and Schuffelen, A. C.', 'citations': 1}]"
1861,"Edelman, C. H., van Baren, F.","[{'title': 'Edelman, C. H., van Baren, F., A.,and, Favejee, J. C.L.', 'citations': 1}]"
1862,"Fayejee, J. C.","[{'title': 'Note: Part II under Fayejee, J. C. L•.', 'citations': 1}]"
1863,"Ed6l'man, L","[{'title': ""Ed6l'man, L; 1. and Rebil1der ,'1'. A.<;."", 'citations': 1}]"
1864,"Edington, G.","[{'title': 'Edington, G., see 2635.', 'citations': 1}]"
1865,"Edson, E. W.","[{'title': 'Edson, E. W., see 2501.', 'citations': 1}]"
1866,"Edwards, A. B..","[{'title': ""Edwards, A. B.. ..... .' . ..'"", 'citations': 1}]"
1867,"Edwqrds, A. M..","[{'title': 'Edwqrds, A. M.. .... , The ocqurrence of te.rtiary clay on Long Island.', 'citations': 1}]"
1868,"Efremov, N. E.","[{'title': 'Efremov, N. E.,:,. , ... .', 'citations': 1}]"
1869,Efremovl. N. E..,"[{'title': ""Efremovl. N. E. . ,.... '. '. ."", 'citations': 1}]"
1870,"Hahn, E.","[{'title': "".Ehrenberg, P., Hahn, E. and Nolte'; O."", 'citations': 1}, {'title': 'Hahn, E., see 1566.', 'citations': 1}]"
1871,"Ehrenberg, P. and van Zyl, J. P","[{'title': 'Ehrenberg, P. and van Zyl, J. P.', 'citations': 1}]"
1872,"Eiger, A","[{'title': '.. . , Eiger, A.', 'citations': 1}]"
1873,"Eisenack, A","[{'title': 'Eisenack, A.', 'citations': 1}]"
1874,Mineral. A,"[{'title': 'Zentr. Mineral. A, No. 10, 305-}08 (1938).', 'citations': 1}]"
1875,"Eitel, W., MUller, H. O","[{'title': ""Eitel, W., MUller, H. O.and Radczewski, O. E.. , lleberrnikroskopisdhe 'Untersuchungen an Tonmineralien."", 'citations': 1}]"
1876,"Eitel, W. and Schusterius, C","[{'title': 'Eitel, W. and Schusterius, C.', 'citations': 1}]"
1877,"Elbers, A. D","[{'title': '(1574) Elbers, A. D.', 'citations': 1}]"
1878,"Eldridge, H. J","[{'title': 'Eldridge, H. J.! s~e 3466.', 'citations': 1}]"
1879,"ElgaMlj, M. M.","[{'title': 'ElgaMlj, M. M.,· see alsb 2804.', 'citations': 1}]"
1880,"Ellingham, H. J. T","[{'title': ""... . . , . , ... , .. ' : . ' , Ellingham, H. J. T."", 'citations': 1}]"
1881,"Elliott, G.R.B","[{'title': '(1579) ,"" Elliott, G.R.B.', 'citations': 1}]"
1882,"Elliott, G. R. B., Jones, E. R.","[{'title': ""(1580)' Elliott, G. R. B., Jones, E. R. and'Zeasman, O. R."", 'citations': 1}]"
1883,"Ellis, D.","[{'title': 'Ellis, D. .', 'citations': 1}]"
1884,"ElliS, S. B. and Kiehl, S. J","[{'title': 'ElliS, S. B. and Kiehl, S. J.', 'citations': 1}]"
1885,"Abstracts,J.Q","[{'title': ""Ch~m~ Abstracts ,J.Q,No.'5, ,1287 (193o}."", 'citations': 1}]"
1886,"Elsom, J. F","[{'title': '(1585) Elsom, J. F.', 'citations': 1}]"
1887,"Ely, S. B","[{'title': 'Ely, S. B.', 'citations': 1}]"
1888,"Emery, R","[{'title': '(1588) Emery, R.', 'citations': 1}]"
1889,Iowa L,"[{'title': '.. GeoL Iowa L, 349~350( 1870).', 'citations': 1}]"
1890,"Emley, W. E.","[{'title': ""Emley, W. E.,' see a1s'0 199."", 'citations': 1}]"
1891,"Emmett, P. H","[{'title': '(1590) Emmett, P. H.', 'citations': 1}]"
1892,Vol. I,"[{'title': 'Interscience··Pub~ Co., New.Yp;pk,. Vol. I,pp. 1-36.', 'citations': 1}]"
1893,Barbara S,"[{'title': 'Emodi, Barbara S.', 'citations': 1}]"
1894,"Endell, J","[{'title': 'Endell, J.', 'citations': 2}]"
1895,"Endell, J..","[{'title': 'Endell, J. ..', 'citations': 1}, {'title': ""Endell, J. .. .. ' ...... . ..; ... .."", 'citations': 1}]"
1896,"Ende11, J..","[{'title': ""Ende11, J. .. ' . .'. . ."", 'citations': 1}]"
1897,"Ende11, J","[{'title': 'Ende11 , J.', 'citations': 1}]"
1898,"Endel1, J.","[{'title': '(1605f Endel1, J. .', 'citations': 1}]"
1899,"Endell, J.","[{'title': '(1607) Endell, J. "" :\' "", . :\'.- ,,\'""', 'citations': 1}]"
1900,A1Jstracts M.,"[{'title': '~. A1Jstracts M., No. 16, 7745 (1952).', 'citations': 1}]"
1901,"Endell, K.","[{'title': '(1609) Endell, K. , \':\' "" ."" ,\', ,\', , , Contribution, bf:tjle 1{l1ow1elige pf.\' kao;).in,,\'', 'citations': 1}, {'title': ""Endell, K., s~e also 174, '2601; 2602, 2663, 2604."", 'citations': 1}]"
1902,"Ende11, K.","[{'title': 'Ende11, K., Hofmann, tI. and Wilm,n.', 'citations': 1}]"
1903,"Csaki, P","[{'title': ""(1613) Ende11,. K., ,Reininger,.' H,' ,Jenllc;h, ,H,and Csaki, P."", 'citations': 1}]"
1904,"Endell, K. and Vageler, P.","[{'title': '(1614) Endell, K. and Vageler, P. ""', 'citations': 1}]"
1905,"Engelder, C. J.","[{'title': 'Engelder, C. J. ,see 5987.', 'citations': 1}]"
1906,"Enk, E.","[{'title': '(1615) Enk, E . "" .', 'citations': 1}]"
1907,"Ensminger, L. E.","[{'title': '(1616) Ensminger, L. E. \' ,,\' """"', 'citations': 1}, {'title': '(1617)\' Ensminger, L. E. \' , The relation between water lost and,the:.. phosphate ion adsorbed on phosphating clay minerals and soil colloids. "" \'', 'citations': 1}]"
1908,"Abstracts, W","[{'title': '.Q.!:lm!!.. Abstracts, W:t, No.8, 3042 (1950,).', 'citations': 1}]"
1909,"Erbacher, U.","[{'title': 'Erbacher, U., see 6576.', 'citations': 1}]"
1910,"Erdahl, B. F.","[{'title': '(1621) Erdahl, B. F. "" , Effect of alkali water on concrete.', 'citations': 1}]"
1911,"Erdahl, B. F","[{'title': '(1622) Erdahl, B. F.', 'citations': 1}]"
1912,"Erdman, L.","[{'title': '(1623) Erdman, L. ,N. .', 'citations': 1}]"
1913,I. Ferric,"[{'title': '.qomp1exes. \'., . ,,\' "", . ,"" \',""\':,. , I. Ferric ana ferrous complexes. .', 'citations': 1}]"
1914,"Erlenmeyer, H.","[{'title': 'Erlenmeyer, H. ""', 'citations': 1}]"
1915,"Erlenmeyer, H","[{'title': '(1631) Erlenmeyer, H.', 'citations': 1}, {'title': 'Erlenmeyer, H.', 'citations': 1}]"
1916,"Erlenmeyer, H., Karo, H. and Theilheimer, W","[{'title': 'Erlenmeyer, H., Karo, H. and Theilheimer, W.', 'citations': 1}]"
1917,"Ervin, G.","[{'title': ""(1634) Ervin, G., Jr, and Osborn,'];, F, The system A120J-H~O, J., Geo1.2,2,J81-3':i4 (1951)."", 'citations': 1}, {'title': 'Ervin, G., see also 309,8.', 'citations': 1}]"
1918,"Escard, J","[{'title': '(1635) Escard, J.', 'citations': 1}]"
1919,"Esenwein, P","[{'title': '(1637) Esenwein, P.', 'citations': 1}]"
1920,"Esecwein, P.","[{'title': 'Esecwein, P., see also 5240.', 'citations': 1}]"
1921,"Esme, A.","[{'title': 'Esme, A., see also 1405.', 'citations': 1}]"
1922,"Esquevin, J.","[{'title': 'Esquevin, J., see 994.', 'citations': 1}]"
1923,"Evans, E..","[{'title': "". .',,~, (1639) Evans, E. ..•.. ',."", 'citations': 1}, {'title': '(1640 ) Evans, E. . \' > \'. ii\'; \'""', 'citations': 1}]"
1924,"Evans, G. L.","[{'title': 'Evans, G. L. , . ."" ;:"""".., ,,,,.', 'citations': 1}]"
1925,EvansI J. W.,"[{'title': ""(1642},' EvansI J . W . , . ' ... ;"", 'citations': 1}]"
1926,"Everhart, J.","[{'title': '(1643 ) Everhart, J. 0 . , , .."" ....., How U. S. firec1aydepOsitsocci:1:trred and ,their properties deve~oped. I, II. . .', 'citations': 1}, {'title': ',. \' , \' , (1644) Everhart, J. 0."" \' .\' \'.,\' .""', 'citations': 1}, {'title': '(1645) Everhart, J. 0., .R~eckl, W:·""C. a~d A1lsti\'n, G. R.', 'citations': 1}]"
1927,"Evko, A.","[{'title': 'Evko, A. V"" see 4219. processes •. \' .', 'citations': 1}]"
1928,"Ewing, F. J.","[{'title': '(1653) Ewing, F. J., Secor,.R. B. and Warner, J.G.', 'citations': 1}]"
1929,"Ewing, F.","[{'title': 'Ewing, F. y., see also 1289.', 'citations': 1}]"
1930,"Eyrich, K","[{'title': 'Eyrich, K.', 'citations': 1}]"
1931,"Eyrich, K.","[{'title': 'Eyrich, K. .', 'citations': 1}]"
1932,"Fabianic, W. L.","[{'title': 'Fabianic, W. L. and Stolte} N.H~ \'"" ""', 'citations': 1}]"
1933,"Fagundes, A. B","[{'title': '.:.\', "" , (1657) Fagundes, A. B.', 'citations': 1}]"
1934,"Faierman, L. Y..","[{'title': 'Fahey; J.J""J ~ee a1s091;_\',269~. , Faierman, L. Y. . , The Karl Fischer method for determining water.', 'citations': 1}]"
1935,"Failyer, G. H.","[{'title': 'Failyer, G. H., see 5287.', 'citations': 1}]"
1936,"Fairbault, E. R","[{'title': '(1663Y Fairbault, E. R.', 'citations': 1}]"
1937,"Fairchild, H. L","[{'title': '(1664) Fairchild, H. L.', 'citations': 1}]"
1938,"Falkenberg, O","[{'title': '(1666) Falkenberg, O.', 'citations': 1}]"
1939,"Fall, D","[{'title': '(1667) Fall, D.\' , _, ""', 'citations': 1}]"
1940,"Fall, D.","[{'title': 'Fall, D. ,_"" _', 'citations': 1}]"
1941,"Fantus, B.","[{'title': ""(1669) Fantus, B. .'"", 'citations': 1}]"
1942,"Farbenind, I. G.","[{'title': '(1670) Farbenind, I. G., A. G. , \'""', 'citations': 1}]"
1943,"Farkas, L","[{'title': '(1671) Farkas, L.', 'citations': 1}]"
1944,Z. Elektrochem,"[{'title': 'Z. Elektrochem. 1I; 670-673 (1931).', 'citations': 1}]"
1945,"Farnham, E. C.","[{'title': 'Farnham, E. C., see 1304.', 'citations': 1}]"
1946,"Farnsworth, J. P.","[{'title': '(1672) Farnsworth, J. P. _', 'citations': 1}]"
1947,"Farnsworth, M","[{'title': '(1673) Farnsworth, M.', 'citations': 1}]"
1948,"Farnsworth, M.","[{'title': 'Farnsworth, M., se~ also 763.', 'citations': 1}]"
1949,"Farrar, W.","[{'title': ""Farrar, W. '."", 'citations': 1}]"
1950,"Schoo,J..","[{'title': 'Thesis~. T:Jniv. Mi~SOU.-i, Schoo,J... ofMines anQ JVlet., .\' "" ..... 5~:eIl. (134)·., . .... ""', 'citations': 1}]"
1951,"Farrar, W., Grenfell, D. S. and Allen, V. T","[{'title': 'Farrar, W., Grenfell, D. S. and Allen, V. T.', 'citations': 1}]"
1952,"Farrell, M.","[{'title': 'Farrell, M. A~ and \\\\folff, Ij.. r.', 'citations': 1}]"
1953,"Faucher, J. A.","[{'title': '(1677) Faucher, J. A., Jr., Southwort~, R.·W. and Thomas, H. C.', 'citations': 1}]"
1954,I. Chromatography,"[{'title': 'I. Chromatography on clays. , JI..~. Phys. gQ 157-160 (1952).', 'citations': 1}]"
1955,"Faure, P.","[{'title': '. Faure, P., se,e 1042.', 'citations': 1}]"
1956,"Faust, G. T","[{'title': 'Faust, G. T.', 'citations': 4}]"
1957,"Faust,G. T.","[{'title': 'Faust,G. T., see: also 46.', 'citations': 1}]"
1958,"Favejee, J. C.","[{'title': 'Favejee, J. C. 1. .', 'citations': 1}]"
1959,"Favejee, J","[{'title': ', (1685) Favejee, J, C. 1.', 'citations': 1}]"
1960,"Favejee, J.","[{'title': 'Favejee, J., C,. L~., see also 1550, 1552, 1553, 2347.', 'citations': 1}]"
1961,"Fedoroff, B.","[{'title': 'Fedoroff, B., see 1382.', 'citations': 1}]"
1962,"Feigl, F","[{'title': 'Feigl, F.and Backer:, E., . "" .', 'citations': 1}]"
1963,"Feigl,F","[{'title': 'Feigl,F:.,,~_.sC?~,eal,~Q,J38],~ .., .r.....', 'citations': 1}]"
1964,"Feld, W","[{'title': '(1691) Feld, W.', 'citations': 1}]"
1965,"Feld-Zehlendorf, W.","[{'title': '(1692) Feld-Zehlendorf, W. ,"",:', 'citations': 1}]"
1966,"Johnson, L. H. and Westfie'ld, J","[{'title': ""•., Johnson, L. H. and Westfie'ld, J."", 'citations': 1}]"
1967,"Fenneman,N","[{'title': 'Fenneman,N. ]\\iI.', 'citations': 1}]"
1968,"Fenner, C. N","[{'title': 'Fenner, C. N.Stability relations of silica minerals.', 'citations': 1}]"
1969,"Ferguson, I. R.","[{'title': 'Ferguson, I. R. and Verdier~ E. T.', 'citations': 1}]"
1970,"Ferguson, J","[{'title': ""Chern. Ab~tra?ts .1&, No~ 15, 7268 (1952).', Ferguson, J,'; ~ee 1063, .,3799•."", 'citations': 1}]"
1971,"Ferguson, L. R","[{'title': 'Ferguson, L. R.', 'citations': 1}]"
1972,"Ferguson, L.","[{'title': ""Ferguson, L. fl.., .see, a1so, ..'6514-!.c"", 'citations': 1}]"
1973,"Ferguson, R. F.","[{'title': 'Ferguson, R. F., see 2674.', 'citations': 1}]"
1974,"Fermor,L. L","[{'title': '(1699) Fermor,L. L.', 'citations': 1}]"
1975,"Fermor, L. L","[{'title': 'Fermor, L. L.', 'citations': 3}, {'title': ', Fermor, L. L.', 'citations': 1}]"
1976,D. C. Wysor,"[{'title': 'Discussion of paper by D. C. Wysor, Aluminium hydrates in the Arkansas: bauxite deposits.·', 'citations': 1}]"
1977,"Ferrandis, V. A.","[{'title': 'Ferrandis, V. A. ""', 'citations': 1}, {'title': 'Ferrandis, V. A. andVerduch, A.\'G~ \'. ""', 'citations': 1}]"
1978,"Ferrandis, V. A..","[{'title': 'Ferrandis, V. A. . , , Physj,c,al ,me·thOdS us;ed in the study otc1ays., Ion m, 644;;:650,707-715 (1950),.: \'. ,. ""', 'citations': 1}]"
1979,"Ferrari, A. and Scaini, G.","[{'title': '(1709) Ferrari, A. and Scaini, G. "" .. . .. ~', 'citations': 1}]"
1980,"Fersmann, A. E","[{'title': '(1712) Fersmann, A. E.', 'citations': 1}]"
1981,"Fersmann,A. E","[{'title': '(1713) Fersmann,A. E.', 'citations': 1}]"
1982,"Fessler, A. B.","[{'title': 'Fessler, A. B., see 1980.', 'citations': 1}]"
1983,"Fettke, C. R","[{'title': '(1714) Fettke, C. R.', 'citations': 1}]"
1984,"Fester, G. A.","[{'title': ', (1715) Fester, G. A. .', 'citations': 1}]"
1985,"Fetzer, W. R","[{'title': 'Fetzer, W. R.', 'citations': 1}]"
1986,"Fialkov, Y. A","[{'title': ', Fialkov, Y. A.', 'citations': 1}]"
1987,"Fialkov, Y. A.","[{'title': ""(1720' Fialkov, Y. A. and Shargorodos'.ki.i •.S. S."", 'citations': 1}]"
1988,Ukr.S,"[{'title': ""IVielJ\\.· Inst. .Che:tn. Acad., Sci, Ukr.S .$.R. ':I."", 'citations': 1}]"
1989,"Ficai, C","[{'title': '(1722) Ficai, C.', 'citations': 1}]"
1990,J.. Landwirtsch,"[{'title': 'J.. Landwirtsch. !il:t., 343-348. .', 'citations': 1}]"
1991,"Fieldner, A. C","[{'title': ', Fieldner, A. C.', 'citations': 1}]"
1992,Mineral L,"[{'title': '~. angew. Mineral L,. 3J,3..352( 1939J. ,.', 'citations': 1}]"
1993,Fieger. E. A.,"[{'title': 'Fieger. E. A., see 5105.', 'citations': 1}]"
1994,"Field, A. L.","[{'title': 'Field, A. L., see 1729.', 'citations': 1}]"
1995,"Fie1dner, A. C","[{'title': '(1726) Fie1dner, A. C.', 'citations': 1}]"
1996,"Fie1dner, A.","[{'title': 'Fie1dner, A. G~, Developments in coal rese~rch and te~nology in', 'citations': 1}]"
1997,"Fie1dner, A.C., Hall, A. E., and FieM, A. L","[{'title': 'Fie1dner, A.C., Hall, A. E., and FieM, A. L.', 'citations': 1}]"
1998,BulL.J,"[{'title': '!L. §..Bur. l>1ines, BulL .J.Z9., 146pp. (1918).', 'citations': 1}]"
1999,"Rice, W. E.","[{'title': 'Fii!l:I.-dner,.A.q.,. Rice, W. E. and r.10ran, H. E.', 'citations': 1}]"
2000,"Fieux, J.","[{'title': ""(1731) Fieux, J. '. ."", 'citations': 1}]"
2001,"Fink, C.G.","[{'title': 'Fink, C.G..', 'citations': 1}]"
2002,"Fink, W. L., Van Horn, K. R. and Paf'our, H. A","[{'title': ""Fink, W. L., Van Horn, K. R. and Paf'our, H. A."", 'citations': 1}]"
2003,"Fin1ayson,C. M.","[{'title': ""Fin1ayson,C. M., see '2864."", 'citations': 1}]"
2004,"Finn, A' N.","[{'title': ""Finn, A' N., see 6516."", 'citations': 1}]"
2005,"Firman, E. B. and Toth, S.J","[{'title': '(1735) Firman, E. B. and Toth, S.J.', 'citations': 1}]"
2006,"Fischer, G. W","[{'title': '(1736) Fischer, G. W.', 'citations': 1}]"
2007,"Fischer, E. A..","[{'title': ""Fischer, E. A . . , l , The phenomena of absorption in soi1sl a critical disll:Ussion of the; hypotheses. put forward.'"", 'citations': 1}]"
2008,"Fischer, R. P","[{'title': 'Fischer, R""B. f see 1174., .,\'c"".\', Fischer, R. P.', 'citations': 1}]"
2009,"Fishburn, C. C.","[{'title': 'Abstract l .ii \'Washington,Acad.. ~!"".J.2., No.3, 109 (1949)\'., (1741) Fishburn, C. C. , , Water permeability. of walls built of ,masonry units •', 'citations': 1}]"
2010,"Fishburn, C. C., Parsons, D. E. and Peterson, P. H","[{'title': '(1742) Fishburn, C. C., Parsons, D. E. and Peterson, P. H.', 'citations': 1}]"
2011,Margaret W,"[{'title': '(1743) Fishenden, Margaret W.', 'citations': 1}]"
2012,Brit.J,"[{'title': ""Dept. Sci. Ind•.Research (Brit .J, Fuel Research'"", 'citations': 1}]"
2013,"Fisher, C. A.","[{'title': ""(1744) Fisher, C. A. ,'."", 'citations': 1}]"
2014,Bull.W,"[{'title': '!.L• .§.. ~. Survey, Bull.W, Pt. I, 417-423 (1907). r ,-. , (1746) Fisk, H. G.', 'citations': 1}]"
2015,"Fiske, A. H.","[{'title': 'Fiske, A. H., see 4828.', 'citations': 1}]"
2016,"Fitterer, G.R.","[{'title': 'Fitterer, G.R., see2502~', 'citations': 1}]"
2017,"Fitzpatrick, F. W","[{'title': 'Fitzpatrick, F. W.', 'citations': 1}]"
2018,"Flagg, S. B.","[{'title': ', Flagg, S. B. .', 'citations': 1}]"
2019,"Fleischer, M","[{'title': '(1750) Fleischer, M.', 'citations': 1}]"
2020,"Flenner, A. L.","[{'title': ', Flenner, A. L., see 3418.', 'citations': 1}]"
2021,"Fletcher, C. C.","[{'title': '(.1751) Fletcher, C. C. ""', 'citations': 1}]"
2022,"Flick, K.","[{'title': 'Flick, K., see 6620.', 'citations': 1}]"
2023,Flint. D.,"[{'title': ""0' i ; Flint. D. and, Lindsay, A. W."", 'citations': 1}]"
2024,"Flint, E. P.","[{'title': 'Flint, E. P., Mcr.~urdie, ll. F. and Viells, L. S.', 'citations': 1}]"
2025,J.. Research,"[{'title': ""Formation of hydrated calcium silicates at elevated temperatures andpres$ures. , J.. Research, Nat1'. Bur~ Siandard§ £1, 617-638 (1938)."", 'citations': 1}]"
2026,"McMurdie, H. F.","[{'title': 'Flint, E~ P•• McMurdie, H. F. and,Wells, L. S.', 'citations': 1}, {'title': 'McMurdie, H. F., S8e 46, 1754, 1755, 2732.', 'citations': 1}]"
2027,"Flint, E. P. and We11s,L.","[{'title': '(1756) Flint, E. P. and We11s,L. S"", Study of the system CCl.O-SiO~...lj2.Q at 300 and of the reactionqf wa~~r_ on theanpydrous calcium silicates •', 'citations': 1}]"
2028,Vfells.L.,"[{'title': '(1757) \'Flint, m. P. an.d Vfells.L.,S., "" ""', 'citations': 1}]"
2029,Flint. E. P. and Wells. L. S,"[{'title': 'Flint. E. P. and Wells. L. S.', 'citations': 1}]"
2030,K.EUR,"[{'title': ""K.€;1,.NorsM- y~genskab~ Selskabs,' Forh. 22, '"", 'citations': 1}]"
2031,"Florentin, D.","[{'title': ""No. 40. 1 .1 2 (1950). ' c~ram.~bsf:racts: (in 1. 'Am. Ceram. Soc.) .ll, No.4, 3 1952)., ' , ,,' , Florentin, D. and Heros, Marguerite"", 'citations': 1}]"
2032,"Florio, P. A.","[{'title': 'Florio, P. A., see 2290.', 'citations': 1}]"
2033,"Fodor, A","[{'title': ""Fodor, A.and Schoenfeld, ~. , '"", 'citations': 1}]"
