ID,Label,titles
78,"Weizsacker, C. F.","[{'title': 'Weizsäcker, C. F. v. (1931). Ortsbestimmung eines Elektrons durch ein Mikroskop.', 'citations': 1}, {'title': 'Weizsäcker, C. F. v. (1934). Nachwort zu einer Arbeit von K. Popper (1934). Naturwiss., 22:808.', 'citations': 1}, {'title': 'Weizsäcker, C. F. v. (1939). Der zweite Hauptsatz und der Unterschied von Vergangenheit und Zukunft. Ann. Physik, 36:275. Reprinted in Weizsäcker, 1971a.', 'citations': 1}, {'title': 'Weizsäcker, C. F. v. (1943). Zum Weltbild der Physik. Hirzel, Leipzig.', 'citations': 1}, {'title': 'Weizsäcker, C. F. v. (1948). Die Geschichte der Natur. Hirzel, Stuttgart.', 'citations': 1}, {'title': 'Weizsäcker, C. F. v. (1949). Eine Bemerkung über die Grundlagen der Mechanik.', 'citations': 1}, {'title': 'Weizsäcker, C. F. v. (1955). Komplementarität und Logik I. Naturwiss., 42:521–529 and 545–555. Reprinted in Weizsäcker (1957).', 'citations': 1}, {'title': 'Weizsäcker, C. F. v. (1957). Zum Weltbild der Physik. Hirzel, Stuttgart, 7th edition.', 'citations': 1}, {'title': 'Weizsäcker, C. F. v. (1958). Komplementarität und Logik II. Z. Naturforschung, 13a:245–253.', 'citations': 1}, {'title': 'Weizsäcker, C. F. v. (1971a). Die Einheit der Natur. Hanser, Munich.', 'citations': 1}, {'title': 'Weizsäcker, C. F. v. (1971b). Notizen über die philosophische Bedeutung der Heisenbergschen physik. In Dürr, H.-P., editor, Quanten und Felder, Braunschweig.', 'citations': 1}, {'title': 'Weizsäcker, C. F. v. (1971c). The Unity of Physics. In Bastin, T., editor, Quantum', 'citations': 1}, {'title': 'Weizsäcker, C. F. v. (1972). Evolution und Entropiewachstum. Nova Acta Leopoldina, 206:515–530. Reprinted in Weizsäcker (1974b).', 'citations': 1}, {'title': 'Weizsäcker, C. F. v. (1973a). Classical and quantum descriptions. In Mehra (1973b).', 'citations': 1}, {'title': 'Weizsäcker, C. F. v. (1973b). Comment on Dirac’s paper. In Mehra (1973b).', 'citations': 1}, {'title': 'Weizsäcker, C. F. v. (1973c). Probability and quantum mechanics. Brit. J. Phil.', 'citations': 1}, {'title': 'Weizsäcker, C. F. v. (1974a). Der Zusammenhang der Quantentheorie elementarer', 'citations': 1}, {'title': 'Weizsäcker, C. F. v. (1974b). Geometrie und Physik. In Enz, C. P. and Mehra, J., editors, Physical reality and mathematical description, pages 48–90, Dordrecht.', 'citations': 1}, {'title': 'Weizsäcker, C. F. v. (1975). The philosophy of alternatives. In QTS I, 213–230.', 'citations': 1}, {'title': 'Weizsäcker, C. F. v. (1977). Der Garten des Menschlichen. Hanser, Munich.', 'citations': 1}, {'title': 'Weizsäcker, C. F. v. (1979). Einstein. In Weizsäcker (1983).', 'citations': 1}, {'title': 'Weizsäcker, C. F. v. (1982). Bohr und Heisenberg. In Weizsäcker (1983).', 'citations': 1}, {'title': 'Weizsäcker, C. F. v. (1983). Wahrnehmung der Neuzeit. Hanser, Munich.', 'citations': 1}, {'title': 'Weizsäcker, C. F. v. (1985). Werner Heisenberg. In Gall, L., editor, Die großen', 'citations': 1}, {'title': 'Weizsäcker, C. F. v., Scheibe, E., and Süßmann, G. (1958). Mehrfache Quantelung, Komplementarität und Logik III. Z. Naturforschung, 13a:705–721.', 'citations': 1}]"
79,"Weizsacker, C.","[{'title': 'Weizsäcker, C. v. and Weizsäcker, E. v. (1984). Fehlerfreundlichkeit. In Kornwachs, K., editor, Oﬀenheit, Zeitlichkeit, Komplexität, Frankfurt, New York. Campus.', 'citations': 1}]"
80,"Weizsacker, E.","[{'title': 'Weizsäcker, E. v. (1974a). Erstmaligkeit und Bestätigung als Komponenten der pragmatischen Information. In Weizsäcker (1974b).', 'citations': 1}, {'title': 'Weizsäcker, E. v., editor (1974b). Oﬀene Systeme I. Klett-Cotta, Stuttgart.', 'citations': 1}, {'title': 'Weizsäcker, E. v. (1985). Contagious knowledge. In Ganelius, T., editor, Progress in Science and its Social Conditions—Proceedings of the 58th Nobel symposium, Stockholm 1983, New York. Pergamon Press.', 'citations': 1}, {'title': 'Weizsäcker, E. v. and Weizsäcker, C. v. (1972). Wiederaufnahme der begriﬄichen', 'citations': 1}]"
81,"Weyl, H.","[{'title': 'Weyl, H. (1918). Raum-Zeit-Materie. Springer, Berlin.', 'citations': 1}]"
82,"Wheeler, J. A.","[{'title': 'Wheeler, J. A. (1978). The “past” and the “delayed choice” double-slit experiment.', 'citations': 1}]"
83,"In Marlow, A. R., editor","[{'title': 'In Marlow, A. R., editor, Mathematical Foundations of Quantum Theory, pages', 'citations': 1}]"
84,"Wigner, E.","[{'title': 'Wigner, E. (1939). On unitary representations of the inhomeogeneous Lorentz group.', 'citations': 1}, {'title': 'Wigner, E. (1961). Remarks on the mind-body question. In Good, I. J., editor, The scientist speculates, London. Heinemann.', 'citations': 1}, {'title': 'Wigner, E. (1983). Realität und Quantenmechanik. In QTS V, 7–18.', 'citations': 1}]"
85,"Wolff, M.","[{'title': 'Wolﬀ, M. (1971). Fallgesetz und Massenbegriﬀ. Zwei wissenschaftliche Untersuchungen zur Kosmologie des Johannes Philoponus. de Gruyter, Berlin.', 'citations': 1}]"
86,"Zucker, F. J.","[{'title': 'Zucker, F. J. (1974). Information, Entropie, Komplementarität und Zeit. In', 'citations': 1}]"
87,F. Indeed,"[{'title': 'Given an observable, F, deﬁne ∆F := F − \x04F\x05. (The right-hand side is the expectation value of F, where we have left the state unspeciﬁed.) The expectation of (∆F)2 is the dispersion of F. Indeed, \x04(∆F)2', 'citations': 1}]"
